abbreviation,location,location_name,population,,count_rate1,count_rate2,count_rate2p5,count_rate3,count_rate4,count_rate5,city,latitude,longitude
US,US,US,332200066,,3322,6644,8305,9966,13288,16610,New York,40.7128,-74.0060
AL,01,Alabama,5063778,,51,101,127,152,203,253,Birmingham,33.5186,-86.8104
AK,02,Alaska,711426,,7,14,18,21,28,36,Anchorage,61.2181,-149.9003
AZ,04,Arizona,7341018,,73,147,184,220,294,367,Phoenix,33.4484,-112.0740
AR,05,Arkansas,3041878,,30,61,76,91,122,152,Little Rock,34.7465,-92.2896
CA,06,California,38886551,,389,778,972,1167,1555,1944,Los Angeles,34.0522,-118.2437
CO,08,Colorado,5803748,,58,116,145,174,232,290,Denver,39.7392,-104.9903
CT,09,Connecticut,3621089,,36,72,91,109,145,181,Bridgeport,41.1865,-73.1952
DE,10,Delaware,1014872,,10,20,25,30,41,51,Wilmington,39.7391,-75.5398
DC,11,District of Columbia,668576,,7,13,17,20,27,33,Washington,38.9072,-77.0369
FL,12,Florida,22183852,,222,444,555,666,887,1109,Jacksonville,30.3322,-81.6557
GA,13,Georgia,10855454,,109,217,271,326,434,543,Atlanta,33.7490,-84.3880
HI,15,Hawaii,1398977,,14,28,35,42,56,70,Honolulu,21.3069,-157.8583
ID,16,Idaho,1935521,,19,39,48,58,77,97,Boise,43.6150,-116.2023
IL,17,Illinois,12563096,,126,251,314,377,503,628,Chicago,41.8781,-87.6298
IN,18,Indiana,6831941,,68,137,171,205,273,342,Indianapolis,39.7684,-86.1581
IA,19,Iowa,3200224,,32,64,80,96,128,160,Des Moines,41.5868,-93.6250
KS,20,Kansas,2916451,,29,58,73,87,117,146,Wichita,37.6872,-97.3301
KY,21,Kentucky,4494379,,45,90,112,135,180,225,Louisville,38.2527,-85.7585
LA,22,Louisiana,4575074,,46,92,114,137,183,229,New Orleans,29.9511,-90.0715
ME,23,Maine,1384543,,14,28,35,42,55,69,Portland,43.6591,-70.2568
MD,24,Maryland,6133130,,61,123,153,184,245,307,Baltimore,39.2904,-76.6122
MA,25,Massachusetts,6978662,,70,140,174,209,279,349,Boston,42.3601,-71.0589
MI,26,Michigan,10032075,,100,201,251,301,401,502,Detroit,42.3314,-83.0458
MN,27,Minnesota,5716548,,57,114,143,171,229,286,Minneapolis,44.9778,-93.2650
MS,28,Mississippi,2927305,,29,59,73,88,117,146,Jackson,32.2988,-90.1848
MO,29,Missouri,6164537,,62,123,154,185,247,308,Kansas City,39.0997,-94.5786
MT,30,Montana,1119563,,11,22,28,34,45,56,Billings,45.7833,-108.5007
NE,31,Nebraska,1961505,,20,39,49,59,78,98,Omaha,41.2565,-95.9345
NV,32,Nevada,3165539,,32,63,79,95,127,158,Las Vegas,36.1699,-115.1398
NH,33,New Hampshire,1394692,,14,28,35,42,56,70,Manchester,42.9956,-71.4548
NJ,34,New Jersey,9254137,,93,185,231,278,370,463,Newark,40.7357,-74.1724
NM,35,New Mexico,2100079,,21,42,53,63,84,105,Albuquerque,35.0844,-106.6504
NY,36,New York,19657190,,197,393,491,590,786,983,New York,40.7128,-74.0060
NC,37,North Carolina,10596562,,106,212,265,318,424,530,Charlotte,35.2271,-80.8431
ND,38,North Dakota,772061,,8,15,19,23,31,39,Fargo,46.8772,-96.7898
OH,39,Ohio,11749303,,117,235,294,352,470,587,Columbus,39.9612,-82.9988
OK,40,Oklahoma,4001266,,40,80,100,120,160,200,Oklahoma City,35.4676,-97.5164
OR,41,Oregon,4238665,,42,85,106,127,170,212,Portland,45.5051,-122.6750
PA,42,Pennsylvania,12969276,,130,259,324,389,519,648,Philadelphia,39.9526,-75.1652
RI,44,Rhode Island,1090390,,11,22,27,33,44,55,Providence,41.8240,-71.4128
SC,45,South Carolina,5246039,,52,105,131,157,210,262,Charleston,32.7765,-79.9311
SD,46,South Dakota,906458,,9,18,23,27,36,45,Sioux Falls,43.5446,-96.7311
TN,47,Tennessee,7030607,,70,141,176,211,281,352,Nashville,36.1627,-86.7816
TX,48,Texas,29914599,,299,598,748,897,1197,1496,Houston,29.7604,-95.3698
UT,49,Utah,3376238,,34,68,84,101,135,169,Salt Lake City,40.7608,-111.8910
VT,50,Vermont,646910,,6,13,16,19,26,32,Burlington,44.4759,-73.2121
VA,51,Virginia,8583866,,86,172,215,258,343,429,Virginia Beach,36.8529,-75.9780
WA,53,Washington,7735834,,77,155,193,232,309,387,Seattle,47.6062,-122.3321
WV,54,West Virginia,1774977,,18,35,44,53,71,89,Charleston,38.3498,-81.6326
WI,55,Wisconsin,5891022,,59,118,147,177,236,295,Milwaukee,43.0389,-87.9065
WY,56,Wyoming,578583,,6,12,14,17,23,29,Cheyenne,41.1400,-104.8202
PR,72,Puerto Rico,3221789,,32,64,81,97,129,161,San Juan,18.4655,-66.1057
