time_0,mean_temp,max_rel_humidity,sun_duration,wind_speed,swave_radiation
0,28.6,33,26488.98,12.0,11.61
1,29.1,49,39810.08,9.7,21.52
2,30.4,46,39724.34,12.2,21.5
3,31.3,33,39638.2,15.0,21.6
4,31.6,35,39471.39,11.9,21.32
5,31.2,35,39387.1,13.3,20.95
6,29.9,38,39302.7,15.5,21.39
7,28.9,43,39145.46,34.2,20.76
8,24.9,46,37488.36,19.4,18.94
9,23.9,53,38830.73,14.4,18.44
10,24.3,57,38772.01,11.7,20.09
11,25.9,46,38696.94,9.8,20.19
12,28.1,34,38621.67,10.0,20.24
13,30.7,26,38514.09,19.6,19.7
14,32.3,22,38435.02,27.2,18.8
15,30.5,35,36757.03,16.7,18.77
16,30.0,43,38276.86,19.4,17.77
17,28.7,38,38197.95,20.6,18.66
18,27.6,56,38119.3,25.8,18.6
19,24.8,46,38040.98,18.7,18.89
20,24.4,26,37963.1,11.2,18.6
21,25.8,39,37885.76,9.5,18.31
22,28.2,47,37809.05,10.9,18.27
23,30.3,30,37596.92,16.0,17.78
24,29.6,37,37571.95,11.4,17.8
25,28.7,36,37322.28,13.4,17.8
26,29.7,38,37163.19,11.5,17.76
27,29.4,31,36985.8,14.8,17.64
28,28.9,36,36812.69,15.7,17.4
29,27.4,30,36545.77,10.5,16.95
30,25.7,45,36195.48,14.1,16.74
31,23.3,54,35955.5,16.5,14.16
32,22.7,60,34654.48,15.9,15.11
33,23.4,72,34911.23,11.6,14.95
34,23.2,69,35713.81,13.1,15.87
35,23.1,52,35660.19,19.7,15.87
36,19.5,31,35677.57,13.4,16.72
37,18.9,27,35479.04,26.6,16.24
38,19.6,22,35424.36,25.7,16.22
39,20.8,28,35307.86,22.4,16.01
40,20.1,52,35254.42,9.8,15.76
41,20.7,52,35162.26,10.2,15.68
42,21.8,44,35104.77,11.4,15.5
43,22.9,37,35047.02,13.2,15.07
44,23.5,41,34989.09,10.8,14.9
45,22.2,45,34931.0,15.7,14.81
46,19.9,52,34872.83,17.4,14.94
47,17.8,45,34814.61,15.8,14.79
48,17.0,29,34756.4,12.0,14.71
49,18.9,60,34698.25,15.8,14.11
